field_id,lucode,crop_name,fs25_fruit,category,area_ha,priority
field_0001,AC01,Winter Wheat,wheat,arable,0.416,1
field_0002,AC01,Winter Wheat,wheat,arable,0.416,1
field_0003,AC01,Winter Wheat,wheat,arable,0.416,1
field_0004,AC17,Spring Barley,barley,arable,0.416,1
field_0005,AC01,Winter Wheat,wheat,arable,0.416,1
field_0006,AC17,Spring Barley,barley,arable,0.416,1
field_0007,AC01,Winter Wheat,wheat,arable,0.416,1
field_0008,AC01,Winter Wheat,wheat,arable,0.416,1
field_0009,AC01,Winter Wheat,wheat,arable,0.416,1
field_0010,AC17,Spring Barley,barley,arable,0.416,1
field_0011,AC17,Spring Barley,barley,arable,0.416,1
field_0012,AC01,Winter Wheat,wheat,arable,0.416,1
field_0013,AC01,Winter Wheat,wheat,arable,0.416,1
field_0014,AC17,Spring Barley,barley,arable,0.416,1
field_0015,AC01,Winter Wheat,wheat,arable,0.416,1
field_0016,AC01,Winter Wheat,wheat,arable,0.416,1
field_0017,AC01,Winter Wheat,wheat,arable,0.416,1
field_0018,AC01,Winter Wheat,wheat,arable,0.416,1
field_0019,AC01,Winter Wheat,wheat,arable,0.416,1
field_0020,AC01,Winter Wheat,wheat,arable,0.416,1
field_0021,AC01,Winter Wheat,wheat,arable,0.416,1
field_0022,AC01,Winter Wheat,wheat,arable,0.416,1
field_0023,AC01,Winter Wheat,wheat,arable,0.416,1
field_0024,AC01,Winter Wheat,wheat,arable,0.416,1
field_0025,AC01,Winter Wheat,wheat,arable,0.416,1
field_0026,AC01,Winter Wheat,wheat,arable,0.416,1
field_0027,AC01,Winter Wheat,wheat,arable,0.416,1
field_0028,AC01,Winter Wheat,wheat,arable,0.416,1
field_0029,AC01,Winter Wheat,wheat,arable,0.416,1
field_0030,AC01,Winter Wheat,wheat,arable,0.416,1
field_0031,AC01,Winter Wheat,wheat,arable,0.416,1
field_0032,AC01,Winter Wheat,wheat,arable,0.416,1
field_0033,AC01,Winter Wheat,wheat,arable,0.416,1
field_0034,AC01,Winter Wheat,wheat,arable,0.416,1
field_0035,AC01,Winter Wheat,wheat,arable,0.416,1
field_0036,AC01,Winter Wheat,wheat,arable,0.416,1
field_0037,AC01,Winter Wheat,wheat,arable,0.416,1
field_0038,AC01,Winter Wheat,wheat,arable,0.416,1
field_0039,AC01,Winter Wheat,wheat,arable,0.416,1
field_0040,AC01,Winter Wheat,wheat,arable,0.416,1
field_0041,AC01,Winter Wheat,wheat,arable,0.416,1
field_0042,AC01,Winter Wheat,wheat,arable,0.416,1
field_0043,AC17,Spring Barley,barley,arable,0.416,1
field_0044,AC01,Winter Wheat,wheat,arable,0.416,1
field_0045,AC01,Winter Wheat,wheat,arable,0.416,1
field_0046,AC01,Winter Wheat,wheat,arable,0.416,1
field_0047,AC01,Winter Wheat,wheat,arable,0.416,1
field_0048,AC01,Winter Wheat,wheat,arable,0.416,1
field_0049,AC17,Spring Barley,barley,arable,0.416,1
field_0050,AC17,Spring Barley,barley,arable,0.416,1
field_0051,AC17,Spring Barley,barley,arable,0.416,1
field_0052,AC01,Winter Wheat,wheat,arable,0.416,1
field_0053,AC01,Winter Wheat,wheat,arable,0.416,1
field_0054,AC17,Spring Barley,barley,arable,0.416,1
field_0055,AC17,Spring Barley,barley,arable,0.416,1
field_0056,AC01,Winter Wheat,wheat,arable,0.416,1
field_0057,AC01,Winter Wheat,wheat,arable,0.416,1
field_0058,AC01,Winter Wheat,wheat,arable,0.416,1
field_0059,AC01,Winter Wheat,wheat,arable,0.416,1
field_0060,AC01,Winter Wheat,wheat,arable,0.416,1
field_0061,AC01,Winter Wheat,wheat,arable,0.416,1
field_0062,AC17,Spring Barley,barley,arable,0.416,1
field_0063,AC01,Winter Wheat,wheat,arable,0.416,1
field_0064,AC01,Winter Wheat,wheat,arable,0.416,1
field_0065,AC17,Spring Barley,barley,arable,0.416,1
field_0066,AC17,Spring Barley,barley,arable,0.416,1
field_0067,AC17,Spring Barley,barley,arable,0.416,1
field_0068,AC01,Winter Wheat,wheat,arable,0.416,1
field_0069,AC17,Spring Barley,barley,arable,0.416,1
field_0070,AC17,Spring Barley,barley,arable,0.416,1
field_0071,AC01,Winter Wheat,wheat,arable,0.416,1
field_0072,AC01,Winter Wheat,wheat,arable,0.416,1
field_0073,AC01,Winter Wheat,wheat,arable,0.416,1
field_0074,AC17,Spring Barley,barley,arable,0.416,1
field_0075,AC17,Spring Barley,barley,arable,0.416,1
field_0076,AC01,Winter Wheat,wheat,arable,0.416,1
field_0077,AC01,Winter Wheat,wheat,arable,0.416,1
field_0078,AC01,Winter Wheat,wheat,arable,0.416,1
field_0079,AC01,Winter Wheat,wheat,arable,0.416,1
field_0080,AC01,Winter Wheat,wheat,arable,0.416,1
field_0081,AC17,Spring Barley,barley,arable,0.416,1
field_0082,AC17,Spring Barley,barley,arable,0.416,1
field_0083,AC01,Winter Wheat,wheat,arable,0.416,1
field_0084,AC01,Winter Wheat,wheat,arable,0.416,1
field_0085,AC17,Spring Barley,barley,arable,0.416,1
field_0086,AC01,Winter Wheat,wheat,arable,0.416,1
field_0087,AC01,Winter Wheat,wheat,arable,0.416,1
field_0088,AC17,Spring Barley,barley,arable,0.416,1
field_0089,AC17,Spring Barley,barley,arable,0.416,1
field_0090,AC17,Spring Barley,barley,arable,0.416,1
field_0091,AC17,Spring Barley,barley,arable,0.416,1
field_0092,AC17,Spring Barley,barley,arable,0.416,1
field_0093,AC17,Spring Barley,barley,arable,0.416,1
field_0094,AC17,Spring Barley,barley,arable,0.416,1
field_0095,AC17,Spring Barley,barley,arable,0.416,1
field_0096,AC17,Spring Barley,barley,arable,0.416,1
field_0097,AC17,Spring Barley,barley,arable,0.416,1
field_0098,AC17,Spring Barley,barley,arable,0.416,1
field_0099,AC17,Spring Barley,barley,arable,0.416,1
